transaction_date,posting_date,reference,description,debit,credit,account_code,account_name
2025-06-11,2025-06-12,REF-183914,Require role field so thought.,5639.6,0.0,4030,Salaries Expense
2025-06-02,2025-06-03,REF-563612,Between spring religious some dark.,1824.97,0.0,5000,Purchases
2025-06-01,2025-06-06,REF-872344,Fast big develop night.,7705.77,0.0,3000,Revenue
2025-05-16,2025-05-16,REF-559853,Traditional listen order small old throw serious.,0.0,1460.82,3000,Revenue
2025-06-03,2025-06-05,REF-761486,Knowledge enough drive decision.,0.0,8634.49,4000,Expenses
2025-05-26,2025-05-29,REF-158861,Oil visit within challenge artist agent wait.,0.0,8416.59,1000,Cash
2025-06-04,2025-06-04,REF-86563,Media ability direction generation central stop society.,0.0,1005.38,3000,Revenue
2025-05-28,2025-05-31,REF-580605,Many sound quality its surface.,1037.68,0.0,2000,Accounts Payable
2025-05-21,2025-05-25,REF-62014,Law serve money language.,0.0,2775.75,5000,Purchases
2025-06-07,2025-06-09,REF-387552,Heavy project well return believe so goal effort.,0.0,3029.26,4030,Salaries Expense
2025-05-24,2025-05-26,REF-36937,With race increase move successful.,0.0,1182.8,3000,Revenue
2025-06-06,2025-06-11,REF-513857,Everything information rather though effort.,0.0,1563.97,2000,Accounts Payable
2025-05-18,2025-05-23,REF-998297,Time thus set really although near meet leave.,0.0,2912.78,4000,Expenses
2025-05-18,2025-05-20,REF-687835,Leader by movie sort reveal simple.,9342.55,0.0,4030,Salaries Expense
2025-05-28,2025-05-31,REF-343235,Car them night trial message.,0.0,6439.6,5000,Purchases
2025-05-17,2025-05-18,REF-919789,Outside quality two the.,1965.13,0.0,1000,Cash
2025-05-14,2025-05-16,REF-662425,Break pressure kind guess physical professor red question.,0.0,9692.83,5000,Purchases
2025-05-24,2025-05-29,REF-957045,Exist rather office free.,0.0,6761.1,1000,Cash
2025-05-30,2025-06-02,REF-382294,Structure total play.,0.0,4125.29,4010,Rent Expense
2025-06-02,2025-06-02,REF-768521,Ground give sign window.,0.0,875.1,1020,Inventory
2025-06-05,2025-06-05,REF-420761,Wall air support interview state grow usually star.,3306.98,0.0,1010,Accounts Receivable
2025-06-05,2025-06-05,REF-604628,Agent test style appear rather stop.,0.0,8090.41,4010,Rent Expense
