date,description,amount,reference,account
2024-01-01,GL Transaction 1 - High Quality,-2722.7,GL001,ACC02
2024-01-02,GL Transaction 2 - High Quality,2174.6,GL002,ACC03
2024-01-03,GL Transaction 3 - High Quality,3914.54,GL003,ACC04
2024-01-04,GL Transaction 4 - High Quality,3872.41,GL004,ACC05
2024-01-05,GL Transaction 5 - High Quality,1608.37,GL005,ACC01
2024-01-06,GL Transaction 6 - High Quality,-2461.7,GL006,ACC02
2024-01-07,GL Transaction 7 - High Quality,-3777.95,GL007,ACC03
2024-01-08,GL Transaction 8 - High Quality,-3934.61,GL008,ACC04
2024-01-09,GL Transaction 9 - High Quality,-2977.09,GL009,ACC05
2024-01-10,GL Transaction 10 - High Quality,2624.82,GL010,ACC01
2024-01-11,GL Transaction 11 - High Quality,-1306.03,GL011,ACC02
2024-01-12,GL Transaction 12 - High Quality,4861.79,GL012,ACC03
2024-01-13,GL Transaction 13 - High Quality,-2156.37,GL013,ACC04
2024-01-14,GL Transaction 14 - High Quality,4879.61,GL014,ACC05
2024-01-15,GL Transaction 15 - High Quality,-4244.03,GL015,ACC01
2024-01-16,GL Transaction 16 - High Quality,2459.66,GL016,ACC02
2024-01-17,GL Transaction 17 - High Quality,-750.64,GL017,ACC03
2024-01-18,GL Transaction 18 - High Quality,-2959.2,GL018,ACC04
2024-01-19,GL Transaction 19 - High Quality,4698.04,GL019,ACC05
2024-01-20,GL Transaction 20 - High Quality,2773.85,GL020,ACC01
