date,description,amount,reference,account
2024-01-07,GL Entry 1 - Payment Processing,2965.43,GL001,ACC01
2024-01-15,GL Entry 2 - Payment Processing,2319.94,GL002,ACC02
2024-01-29,GL Entry 3 - Payment Processing,968.5,GL003,ACC03
2024-01-26,GL Entry 4 - Payment Processing,-3440.05,GL004,ACC04
2024-01-11,GL Entry 5 - Payment Processing,-407.51,GL005,ACC05
2024-01-21,GL Entry 6 - Payment Processing,1011.15,GL006,ACC06
2024-01-24,GL Entry 7 - Payment Processing,1508.88,GL007,ACC07
2024-01-21,GL Entry 8 - Payment Processing,4699.1,GL008,ACC08
2024-01-12,GL Entry 9 - Payment Processing,4385.53,GL009,ACC09
2024-01-02,GL Entry 10 - Payment Processing,-3181.75,GL010,ACC10
2024-01-21,GL Entry 11 - Payment Processing,1174.82,GL011,ACC01
2024-01-26,GL Entry 12 - Payment Processing,247.56,GL012,ACC02
2024-01-12,GL Entry 13 - Payment Processing,-4769.38,GL013,ACC03
2024-01-27,GL Entry 14 - Payment Processing,1118.53,GL014,ACC04
2024-01-10,GL Entry 15 - Payment Processing,-4533.34,GL015,ACC05
2024-01-28,GL Entry 16 - Payment Processing,-1336.38,GL016,ACC06
2024-01-30,GL Entry 17 - Payment Processing,-4093.94,GL017,ACC07
2024-01-30,GL Entry 18 - Payment Processing,-3003.26,GL018,ACC08
2024-01-23,GL Entry 19 - Payment Processing,4832.31,GL019,ACC09
2024-01-25,GL Entry 20 - Payment Processing,-4535.5,GL020,ACC10
2024-01-19,GL Entry 21 - Payment Processing,1803.08,GL021,ACC01
2024-01-09,GL Entry 22 - Payment Processing,-4349.48,GL022,ACC02
2024-01-04,GL Entry 23 - Payment Processing,4422.02,GL023,ACC03
2024-01-14,GL Entry 24 - Payment Processing,3083.97,GL024,ACC04
2024-01-09,GL Entry 25 - Payment Processing,-4840.34,GL025,ACC05
2024-01-02,GL Entry 26 - Payment Processing,1842.33,GL026,ACC06
2024-01-15,GL Entry 27 - Payment Processing,1832.64,GL027,ACC07
2024-01-12,GL Entry 28 - Payment Processing,-48.23,GL028,ACC08
2024-01-15,GL Entry 29 - Payment Processing,-3266.35,GL029,ACC09
2024-01-17,GL Entry 30 - Payment Processing,-2412.2,GL030,ACC10
2024-01-08,GL Entry 31 - Payment Processing,2553.61,GL031,ACC01
2024-01-30,GL Entry 32 - Payment Processing,200.68,GL032,ACC02
2024-01-10,GL Entry 33 - Payment Processing,677.0,GL033,ACC03
2024-01-29,GL Entry 34 - Payment Processing,4695.85,GL034,ACC04
2024-01-26,GL Entry 35 - Payment Processing,-502.46,GL035,ACC05
2024-01-10,GL Entry 36 - Payment Processing,3948.27,GL036,ACC06
2024-01-14,GL Entry 37 - Payment Processing,2272.72,GL037,ACC07
2024-01-15,GL Entry 38 - Payment Processing,-4115.07,GL038,ACC08
2024-01-23,GL Entry 39 - Payment Processing,208.34,GL039,ACC09
2024-01-30,GL Entry 40 - Payment Processing,-1746.7,GL040,ACC10
2024-01-16,GL Entry 41 - Payment Processing,2473.2,GL041,ACC01
2024-01-15,GL Entry 42 - Payment Processing,3287.38,GL042,ACC02
2024-01-26,GL Entry 43 - Payment Processing,4652.55,GL043,ACC03
2024-01-28,GL Entry 44 - Payment Processing,426.96,GL044,ACC04
2024-01-09,GL Entry 45 - Payment Processing,-2037.26,GL045,ACC05
2024-01-13,GL Entry 46 - Payment Processing,-4254.49,GL046,ACC06
2024-01-07,GL Entry 47 - Payment Processing,-765.99,GL047,ACC07
2024-01-01,GL Entry 48 - Payment Processing,-3012.84,GL048,ACC08
2024-01-24,GL Entry 49 - Payment Processing,-4859.2,GL049,ACC09
2024-01-19,GL Entry 50 - Payment Processing,2068.57,GL050,ACC10
